=== LSOF FOR ALL MODEM PROCESSES ===
==============================================
--- LSOF for time_daemon (PID 242) ---
==============================================
COMMAND     PID       USER   FD      TYPE             DEVICE  SIZE/OFF       NODE NAME
surfacefl   198     system   25       ???                ???       ???        ??? /sys/kernel/debug/tracing/trace_marker
surfacefl   198     system   26       ???                ???       ???        ??? socket:[10076]
surfacefl   198     system   27       ???                ???       ???        ??? socket:[10077]
surfacefl   198     system   28       ???                ???       ???        ??? /dev/ion
surfacefl   198     system   29       ???                ???       ???        ??? anon_inode:dmabuf
surfacefl   198     system   30       ???                ???       ???        ??? anon_inode:dmabuf
surfacefl   198     system   31       ???                ???       ???        ??? anon_inode:sync_fence
surfacefl   198     system   32       ???                ???       ???        ??? anon_inode:dmabuf
surfacefl   198     system   33       ???                ???       ???        ??? socket:[10397]
surfacefl   198     system   34       ???                ???       ???        ??? socket:[8725]
surfacefl   198     system   35       ???                ???       ???        ??? anon_inode:dmabuf
surfacefl   198     system   36       ???                ???       ???        ??? anon_inode:dmabuf
surfacefl   198     system   37       ???                ???       ???        ??? anon_inode:sync_fence
surfacefl   198     system   38       ???                ???       ???        ??? anon_inode:dmabuf
surfacefl   198     system   39       ???                ???       ???        ??? /dev/graphics/fb0
surfacefl   198     system   40       ???                ???       ???        ??? anon_inode:dmabuf
surfacefl   198     system   41       ???                ???       ???        ??? /dev/graphics/fb0
surfacefl   198     system   42       ???                ???       ???        ??? anon_inode:dmabuf
surfacefl   198     system   43       ???                ???       ???        ??? anon_inode:dmabuf
surfacefl   198     system   44       ???                ???       ???        ??? anon_inode:sync_fence
surfacefl   198     system   45       ???                ???       ???        ??? anon_inode:dmabuf
surfacefl   198     system   46       ???                ???       ???        ??? anon_inode:dmabuf
surfacefl   198     system   47       ???                ???       ???        ??? socket:[7886]
surfacefl   198     system   48       ???                ???       ???        ??? anon_inode:sync_fence
surfacefl   198     system   49       ???                ???       ???        ??? socket:[10240]
surfacefl   198     system   51       ???                ???       ???        ??? anon_inode:dmabuf
surfacefl   198     system   52       ???                ???       ???        ??? socket:[11284]
surfacefl   198     system   53       ???                ???       ???        ??? anon_inode:dmabuf
surfacefl   198     system   54       ???                ???       ???        ??? anon_inode:dmabuf
surfacefl   198     system   55       ???                ???       ???        ??? anon_inode:dmabuf
surfacefl   198     system   56       ???                ???       ???        ??? anon_inode:sync_fence
surfacefl   198     system   57       ???                ???       ???        ??? anon_inode:sync_fence
surfacefl   198     system   58       ???                ???       ???        ??? socket:[10538]
surfacefl   198     system   59       ???                ???       ???        ??? anon_inode:sync_fence
surfacefl   198     system   61       ???                ???       ???        ??? anon_inode:sync_fence
surfacefl   198     system   62       ???                ???       ???        ??? anon_inode:dmabuf
surfacefl   198     system   63       ???                ???       ???        ??? anon_inode:sync_fence
surfacefl   198     system   64       ???                ???       ???        ??? anon_inode:sync_fence
surfacefl   198     system   66       ???                ???       ???        ??? anon_inode:sync_fence
surfacefl   198     system   67       ???                ???       ???        ??? anon_inode:sync_fence
surfacefl   198     system  mem       ???              00:08         0       5472 anon_inode:dmabuf
surfacefl   198     system  mem       ???              00:08         0       5472 anon_inode:dmabuf
surfacefl   198     system  mem       ???              00:08         0       5472 anon_inode:dmabuf
surfacefl   198     system  mem       ???              00:08         0       5472 anon_inode:dmabuf
surfacefl   198     system  mem       ???              00:08         0       5472 anon_inode:dmabuf
surfacefl   198     system  mem       ???              00:0c    163840       6090 /dev/kgsl-3d0
surfacefl   198     system  mem       ???              00:08         0       5472 anon_inode:dmabuf
surfacefl   198     system  mem       ???              00:08         0       5472 anon_inode:dmabuf
surfacefl   198     system  mem       ???              00:08         0       5472 anon_inode:dmabuf
surfacefl   198     system  mem       ???              00:0c    172032       6090 /dev/kgsl-3d0
surfacefl   198     system  mem       ???              00:08         0       5472 anon_inode:dmabuf
surfacefl   198     system  mem       ???              00:08         0       5472 anon_inode:dmabuf
surfacefl   198     system  mem       ???              00:08         0       5472 anon_inode:dmabuf
surfacefl   198     system  mem       ???              00:08         0       5472 anon_inode:dmabuf
surfacefl   198     system  mem       ???              00:08         0       5472 anon_inode:dmabuf
surfacefl   198     system  mem       ???              00:08         0       5472 anon_inode:dmabuf
zygote      199       root  exe       ???                ???       ???        ??? /system/bin/app_process
zygote      199       root    0       ???                ???       ???        ??? /dev/null
zygote      199       root    1       ???                ???       ???        ??? /dev/null
zygote      199       root    2       ???                ???       ???        ??? /dev/null
zygote      199       root    3       ???                ???       ???        ??? /dev/log/main
zygote      199       root    4       ???                ???       ???        ??? /dev/log/radio
zygote      199       root    5       ???                ???       ???        ??? /dev/log/events
zygote      199       root    6       ???                ???       ???        ??? /dev/log/system
zygote      199       root    7       ???                ???       ???        ??? /system/framework/core.jar
zygote      199       root    8       ???                ???       ???        ??? /dev/__properties__
zygote      199       root    9       ???                ???       ???        ??? socket:[8233]
zygote      199       root   10       ???                ???       ???        ??? /system/framework/conscrypt.jar
zygote      199       root   11       ???                ???       ???        ??? /system/framework/okhttp.jar
zygote      199       root   12       ???                ???       ???        ??? /system/framework/core-junit.jar
zygote      199       root   13       ???                ???       ???        ??? /system/framework/bouncycastle.jar
zygote      199       root   14       ???                ???       ???        ??? /system/framework/ext.jar
zygote      199       root   15       ???                ???       ???        ??? /system/framework/framework.jar
zygote      199       root   16       ???                ???       ???        ??? /system/framework/framework2.jar
zygote      199       root   17       ???                ???       ???        ??? /system/framework/telephony-common.jar
zygote      199       root   18       ???                ???       ???        ??? /system/framework/voip-common.jar
zygote      199       root   19       ???                ???       ???        ??? /system/framework/mms-common.jar
zygote      199       root   20       ???                ???       ???        ??? /system/framework/android.policy.jar
zygote      199       root   21       ???                ???       ???        ??? /system/framework/services.jar
zygote      199       root   22       ???                ???       ???        ??? /system/framework/apache-xml.jar
zygote      199       root   23       ???                ???       ???        ??? /system/framework/webviewchromium.jar
zygote      199       root   24       ???                ???       ???        ??? /system/framework/telephony-msim.jar
zygote      199       root   25       ???                ???       ???        ??? /system/framework/oem-services.jar
zygote      199       root   26       ???                ???       ???        ??? /system/framework/org.codeaurora.Performance.jar
zygote      199       root   27       ???                ???       ???        ??? /system/framework/vcard.jar
zygote      199       root   28       ???                ???       ???        ??? /dev/log/main
zygote      199       root   29       ???                ???       ???        ??? /dev/log/radio
zygote      199       root   30       ???                ???       ???        ??? /dev/log/events
zygote      199       root   31       ???                ???       ???        ??? /dev/log/system
zygote      199       root   32       ???                ???       ???        ??? /system/framework/framework.jar
zygote      199       root   33       ???                ???       ???        ??? /sys/kernel/debug/tracing/trace_marker
zygote      199       root   34       ???                ???       ???        ??? /system/framework/core.jar
zygote      199       root   35       ???                ???       ???        ??? /system/framework/framework-res.apk
zygote      199       root   36       ???                ???       ???        ??? socket:[7890]
zygote      199       root   37       ???                ???       ???        ??? socket:[7891]
zygote      199       root  mem       ???              b3:17         0         90 /system/bin/app_process
zygote      199       root  mem       ???              b3:17      4096         90 /system/bin/app_process
drmserver   200        drm  exe       ???                ???       ???        ??? /system/bin/drmserver
drmserver   200        drm    0       ???                ???       ???        ??? /dev/null
drmserver   200        drm    1       ???                ???       ???        ??? /dev/null
drmserver   200        drm    2       ???                ???       ???        ??? /dev/null
drmserver   200        drm    3       ???                ???       ???        ??? /dev/binder
drmserver   200        drm    4       ???                ???       ???        ??? /dev/log/main
drmserver   200        drm    5       ???                ???       ???        ??? /dev/log/radio
drmserver   200        drm    6       ???                ???       ???        ??? /dev/log/events
drmserver   200        drm    7       ???                ???       ???        ??? /dev/log/system
drmserver   200        drm    8       ???                ???       ???        ??? /dev/__properties__
drmserver   200        drm    9       ???                ???       ???        ??? /dev/cpuctl/apps/tasks
drmserver   200        drm   10       ???                ???       ???        ??? /dev/cpuctl/apps/bg_non_interactive/tasks
mediaserv   201      media  exe       ???                ???       ???        ??? /system/bin/mediaserver
mediaserv   201      media    0       ???                ???       ???        ??? /dev/null
mediaserv   201      media    1       ???                ???       ???        ??? /dev/null
mediaserv   201      media    2       ???                ???       ???        ??? /dev/null
mediaserv   201      media    3       ???                ???       ???        ??? /dev/log/main
mediaserv   201      media    4       ???                ???       ???        ??? /dev/log/radio
mediaserv   201      media    5       ???                ???       ???        ??? /dev/log/events
